Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),CategoryType
80 Tin And Articles Thereof,Indonesia,2007,19256727,19256727.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2006,64003201,64003201.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2005,16030277,16030277.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2005,7023517,7023517.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2002,26810,26810.0,Refined/Articles
76 Aluminum And Articles Thereof,Cambodia,2007,168811,168811.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2007,169335413,169226413.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2010,91380978,91380978.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2001,4480760,,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2009,41063942,41063942.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2010,8432609,8432609.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2010,195207176,194979582.0,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2004,7362824,7362824.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2007,2193411,2193411.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2004,21728,21728.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2007,679314,679314.0,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2007,33583448,33583448.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2009,3922697,3922697.0,Refined/Articles
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2010,333600,333600.0,Refined/Articles
"3910 Silicones, In Primary Forms",Vietnam,2010,16385,16385.0,Other
2504 Natural Graphite,Thailand,2007,3822,3822.0,Other
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Thailand,2001,429796,,Other
"3910 Silicones, In Primary Forms",Singapore,2003,6110,6110.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2010,107017,107017.0,Refined/Articles
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Thailand,2004,7971,7971.0,Refined/Articles
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Thailand,2002,13177,13177.0,Refined/Articles
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,2007,124100,124100.0,Other
"3910 Silicones, In Primary Forms",Indonesia,2009,763464,763464.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2001,19134,,Refined/Articles
"3910 Silicones, In Primary Forms",Philippines,2002,368,368.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,2008,41314,41314.0,Other
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Indonesia,2003,1017099,1017099.0,Other
"3910 Silicones, In Primary Forms",Malaysia,2005,29848,29848.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,2007,68075,68075.0,Refined/Articles
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2004,3758,3758.0,Other
"3910 Silicones, In Primary Forms",Singapore,2006,22381,22381.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2006,42701,42701.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2002,41055,41055.0,Refined/Articles
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2010,186785,186785.0,Refined/Articles
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2008,126500,126500.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2003,6846,6846.0,Refined/Articles
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,2005,3875,3875.0,Other
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Thailand,2008,3939,3939.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,2006,576368,576368.0,Refined/Articles
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2003,161288,161288.0,Refined/Articles
2614 Titanium Ores And Concentrates,Malaysia,2002,5140299,5140299.0,Ore/Raw
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2004,211889,211889.0,Refined/Articles
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Thailand,2005,860355,860355.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2008,441051,441051.0,Other
"3910 Silicones, In Primary Forms",Philippines,2006,47377,47377.0,Other
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,2002,14473,14473.0,Other
2614 Titanium Ores And Concentrates,Vietnam,2003,2889488,2889488.0,Ore/Raw
2820 Manganese Oxides,Singapore,2010,245100,245100.0,Compound
2614 Titanium Ores And Concentrates,Malaysia,2008,2078762,2078762.0,Ore/Raw
