Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Card Count,Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Customs Unit Value (Gen),Customs Unit Value (Cons)
75 Nickel And Articles Thereof,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2021,35196,35196.0,,,,,5.0,20316.0,39931.0,39931.0,553.0,,
80 Tin And Articles Thereof,Hong Kong,All Country Subcodes,All Rate Provisions,All Districts,2024,68219,68219.0,,,,,6.0,68219.0,73728.0,73728.0,1765.0,,
76 Aluminum And Articles Thereof,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2023,15699096,15689958.0,,,,,243.0,12402308.0,16001329.0,15991291.0,687353.0,,
80 Tin And Articles Thereof,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2022,173867405,176831278.0,,,,,112.0,2622.0,175907954.0,178917007.0,55.0,,
75 Nickel And Articles Thereof,Japan,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,103701798,107421002.0,,,,,900.0,76923825.0,104857150.0,108817292.0,4881994.0,,
74 Copper And Articles Thereof,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2023,226933677,226718846.0,,,,,3827.0,174925392.0,232439328.0,232220273.0,3465587.0,,
75 Nickel And Articles Thereof,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,8339738,8460874.0,,,,,232.0,7327297.0,8448299.0,8574549.0,259439.0,,
76 Aluminum And Articles Thereof,Hong Kong,All Country Subcodes,All Rate Provisions,All Districts,2023,5246742,5390880.0,,,,,260.0,5387305.0,5539552.0,5680437.0,514617.0,,
76 Aluminum And Articles Thereof,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2023,436191130,435828365.0,,,,,17448.0,434877522.0,458953813.0,458588366.0,17793000.0,,
80 Tin And Articles Thereof,Japan,All Country Subcodes,All Rate Provisions,All Districts,2024,21681809,21425217.0,,,,,485.0,17028732.0,21885129.0,21622896.0,482105.0,,
76 Aluminum And Articles Thereof,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2023,12359475,12351220.0,,,,,631.0,4390707.0,13013257.0,13005002.0,179632.0,,
75 Nickel And Articles Thereof,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2022,24106276,24105610.0,,,,,235.0,1871280.0,24504618.0,24503918.0,55529.0,,
74 Copper And Articles Thereof,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2023,20526280,20539390.0,,,,,517.0,1057169.0,21846832.0,21860112.0,31365.0,,
75 Nickel And Articles Thereof,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2024,32604998,32625344.0,,,,,333.0,4184527.0,32968565.0,32988866.0,122468.0,,
74 Copper And Articles Thereof,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2023,74108485,72991015.0,,,,,1851.0,67990120.0,75583497.0,74467108.0,1950605.0,,
74 Copper And Articles Thereof,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2021,236742496,236800326.0,,,,,3636.0,135728479.0,244907836.0,244965757.0,2733408.0,,
74 Copper And Articles Thereof,Taiwan,All Country Subcodes,All Rate Provisions,All Districts,2022,321923940,321831607.0,,,,,17268.0,254115711.0,333663592.0,333537632.0,6566059.0,,
76 Aluminum And Articles Thereof,Burma,All Country Subcodes,All Rate Provisions,All Districts,2021,8670134,8670134.0,,,,,299.0,4009651.0,9620852.0,9620852.0,187323.0,,
74 Copper And Articles Thereof,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2021,2337104,2330388.0,,,,,165.0,274971.0,2424305.0,2417427.0,7318.0,,
75 Nickel And Articles Thereof,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2024,29144706,29144706.0,,,,,271.0,13332444.0,29315364.0,29315364.0,399761.0,,
76 Aluminum And Articles Thereof,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2023,356218259,352966091.0,,,,,6061.0,322200127.0,380078430.0,376903066.0,15153081.0,,
75 Nickel And Articles Thereof,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2021,84328,88722.0,,,,,31.0,79170.0,92506.0,96675.0,2366.0,,
75 Nickel And Articles Thereof,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,1217462,1160252.0,,,,,17.0,470171.0,1241781.0,1183021.0,33499.0,,
74 Copper And Articles Thereof,Taiwan,All Country Subcodes,All Rate Provisions,All Districts,2023,226881075,227345795.0,,,,,12097.0,180338392.0,233306143.0,233868099.0,4377358.0,,
76 Aluminum And Articles Thereof,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2025 through June,57374702,72657635.0,,,,,2199.0,57758896.0,61464541.0,77232507.0,12374947.0,,
75 Nickel And Articles Thereof,Hong Kong,All Country Subcodes,All Rate Provisions,All Districts,2021,47985,47985.0,,,,,6.0,47985.0,51387.0,51387.0,1281.0,,
