Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Customs Unit Value (Gen),Customs Unit Value (Cons),Card Count
"76 Aluminum And Articles Thereof","Laos","All Country Subcodes","All Rate Provisions","All Districts","2024","7315","7315","7315","7615","7615","417","","","","","","","1"
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2023","29770141","33912749","17732553","29895715","34042687","531498","","","","","","","344"
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","291749083","286513216","282317812","308681849","302953341","44921737","","","","","","","6142"
"76 Aluminum And Articles Thereof","Brunei","All Country Subcodes","All Rate Provisions","All Districts","2023","96571","96571","96571","115921","115921","5504","","","","","","","3"
"74 Copper And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","29115","38990","0","31362","41473","0","","","","","","","8"
"80 Tin And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","20180096","20180096","99367","20793177","20793177","3148","","","","","","","18"
"74 Copper And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2022","90224","90224","0","93820","93820","0","","","","","","","7"
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","18722055","18522181","2170961","19362061","19160991","63227","","","","","","","379"
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","256007706","255702970","190745107","267033084","266729825","4965530","","","","","","","17036"
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","3993123","3909793","3844194","4120137","4035868","528534","","","","","","","146"
"75 Nickel And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","20078925","22894531","22451500","20478741","23637168","672809","","","","","","","1455"
"76 Aluminum And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","4567815","4517419","4513819","4809918","4759250","1720718","","","","","","","184"
"80 Tin And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","768025","768025","180784","791939","791939","4724","","","","","","","26"
"80 Tin And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2021","115921539","115921539","417131","120218419","120218419","10194","","","","","","","101"
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","229796628","229575745","206499237","239559772","239338506","4016104","","","","","","","3645"
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2024","215782544","213981979","210242958","225749119","223911582","11003614","","","","","","","11650"
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","77969234","77506138","73854919","79993161","79498799","2180612","","","","","","","1727"
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","33496980","33496980","46881","33737466","33737466","1278","","","","","","","29"
