Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,critical_mineral,CategoryType
2820 Manganese Oxides,Japan,2001,975219,,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2015,13518607,13518607.0,2820,Manganese,Compound
2820 Manganese Oxides,Japan,2012,20707402,20707402.0,2820,Manganese,Compound
282520 Lithium Oxide And Hydroxide,Hong Kong,2023,4000,4000.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Taiwan,2025,51200,51200.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,"Korea, South",2021,17700,17700.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Hong Kong,2024,4000,4000.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Taiwan,2024,6400,6400.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2025,2607,2607.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Taiwan,2021,13233,13233.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,"Korea, South",2022,2254,2254.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2023,122590,122590.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2021,64600,64600.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2024,22095,22095.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2002,144608,144608.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,"Korea, South",2016,20135,20135.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Hong Kong,2016,10100,10100.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2007,12922,12922.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2016,14487,14487.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2005,72130,72130.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,"Korea, South",2017,312680,312680.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Taiwan,2017,28500,28500.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2017,35513,35513.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2004,58926,58926.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,"Korea, South",2018,25046,25046.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Hong Kong,2018,192000,192000.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Taiwan,2004,8848,8848.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2018,210749,210749.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2003,78401,78401.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Taiwan,2003,99866,99866.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,"Korea, South",2019,3968,3968.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2019,72009,72009.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Taiwan,2020,12812,12812.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2020,87342,87342.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2001,65810,,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2015,38841,38841.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Taiwan,2008,3500,3500.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2006,68914,68914.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,"Korea, South",2014,3851,3851.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2008,131383,131383.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Hong Kong,2010,3000,3000.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2014,123215,123215.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2012,2644,2644.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Hong Kong,2012,8822,8822.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2013,44767,44767.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2009,80930,80930.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,"Korea, South",2010,28665,28665.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,"Korea, South",2015,97184,97184.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,"Korea, South",2012,74826,74826.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2011,108946,108946.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Taiwan,2015,4800,4800.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,"Korea, South",2009,11150,11150.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,Japan,2010,41449,41449.0,282520,Lithium,Compound
282520 Lithium Oxide And Hydroxide,"Korea, South",2013,8619,8619.0,282520,Lithium,Compound
282540 Nickel Oxides And Hydroxides,Taiwan,2011,187200,187200.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Japan,2024,1352991,1352991.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Taiwan,2024,1272013,1272013.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Taiwan,2022,505124,505124.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,"Korea, South",2021,1695487,1695487.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,"Korea, South",2024,15200,15200.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Taiwan,2021,101274,101274.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Japan,2023,3533555,3533555.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Japan,2021,3703450,3703450.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Taiwan,2023,619078,619078.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Japan,2022,7195521,7195521.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Japan,2011,2148606,2148606.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,"Korea, South",2022,892593,892593.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Hong Kong,2024,246580,246580.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Japan,2001,5113158,,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,"Korea, South",2012,60000,60000.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,"Korea, South",2015,2400,2400.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Japan,2005,5049206,5049206.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Japan,2004,8567794,8567794.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Japan,2016,3355713,3355713.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Japan,2018,4228592,4228592.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Japan,2003,5119485,5119485.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Taiwan,2003,113701,113701.0,282540,Nickel,Compound
282540 Nickel Oxides And Hydroxides,Hong Kong,2018,6000,6000.0,282540,Nickel,Compound
