Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons)
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2005","1727798","1727798","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2002","3766","3766","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2005","1955329","1955329","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2007","12366865","12366865","","","",""
"3910 Silicones, In Primary Forms","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2006","35943190","35943190","","","",""
"2603 Copper Ores And Concentrates","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2001","14201112","","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2004","3758","3758","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2010","690300","690300","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2001","3800","","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2006","104756","104756","","","",""
"2820 Manganese Oxides","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2010","245100","245100","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2007","6457","6457","","","",""
"2614 Titanium Ores And Concentrates","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2009","2920983","2920983","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2004","364646","364646","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2009","590300","590300","","","",""
"282520 Lithium Oxide And Hydroxide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","65810","","","","",""
"282520 Lithium Oxide And Hydroxide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","144608","144608","","","",""
"282520 Lithium Oxide And Hydroxide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2003","99866","99866","","","",""
"282520 Lithium Oxide And Hydroxide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2003","78401","78401","","","",""
"282520 Lithium Oxide And Hydroxide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2004","8848","8848","","","",""
"282520 Lithium Oxide And Hydroxide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","58926","58926","","","",""
"282520 Lithium Oxide And Hydroxide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2005","72130","72130","","","",""
"282520 Lithium Oxide And Hydroxide","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2006","3000","3000","","","",""
"282520 Lithium Oxide And Hydroxide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","68914","68914","","","",""
"282520 Lithium Oxide And Hydroxide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","12922","12922","","","",""
"282520 Lithium Oxide And Hydroxide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2008","3500","3500","","","",""
"282520 Lithium Oxide And Hydroxide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","131383","131383","","","",""
"282520 Lithium Oxide And Hydroxide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2009","11150","11150","","","",""
"282520 Lithium Oxide And Hydroxide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2009","80930","80930","","","",""
"282520 Lithium Oxide And Hydroxide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2010","28665","28665","","","",""
"282520 Lithium Oxide And Hydroxide","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2010","3000","3000","","","",""
"282520 Lithium Oxide And Hydroxide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","41449","41449","","","",""
"282540 Nickel Oxides And Hydroxides","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2001","26954","","","","",""
"282540 Nickel Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","5113158","","","","",""
"282540 Nickel Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","5219290","5219290","","","",""
"282540 Nickel Oxides And Hydroxides","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2003","12820","12820","","","",""
"282540 Nickel Oxides And Hydroxides","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2003","113701","113701","","","",""
"282540 Nickel Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2003","5119485","5119485","","","",""
"282540 Nickel Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","8567794","8567794","","","",""
"282540 Nickel Oxides And Hydroxides","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2005","102960","102960","","","",""
"282540 Nickel Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2005","5049206","5049206","","","",""
"282540 Nickel Oxides And Hydroxides","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2006","55200","55200","","","",""
"282540 Nickel Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","7483455","7483455","","","",""
"282540 Nickel Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","9208006","9208006","","","",""
"282540 Nickel Oxides And Hydroxides","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2008","13200","13200","","","",""
"282540 Nickel Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","13148895","13148895","","","",""
"282540 Nickel Oxides And Hydroxides","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2009","607645","607645","","","",""
"282540 Nickel Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2009","3865105","3865105","","","",""
"282540 Nickel Oxides And Hydroxides","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2010","563316","563316","","","",""
"282540 Nickel Oxides And Hydroxides","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2010","6550","6550","","","",""
"282540 Nickel Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","2580738","2580738","","","",""
"282550 Copper Oxides And Hydroxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2001","166912","","","","",""
"282550 Copper Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","52734","","","","",""
"282550 Copper Oxides And Hydroxides","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2002","5600","5600","","","",""
"282550 Copper Oxides And Hydroxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2002","221038","221038","","","",""
"282550 Copper Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","149060","149060","","","",""
"282550 Copper Oxides And Hydroxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2003","391679","391679","","","",""
"282550 Copper Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2003","172457","172457","","","",""
"282550 Copper Oxides And Hydroxides","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2004","2800","2800","","","",""
"282550 Copper Oxides And Hydroxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2004","593260","593260","","","",""
"282550 Copper Oxides And Hydroxides","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2004","17037","17037","","","",""
"282550 Copper Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","174560","174560","","","",""
"282550 Copper Oxides And Hydroxides","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2005","12675","12675","","","",""
"282550 Copper Oxides And Hydroxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2005","611733","611733","","","",""
"282550 Copper Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2005","51589","51589","","","",""
"282550 Copper Oxides And Hydroxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2006","1427252","1427252","","","",""
"282550 Copper Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","59634","59634","","","",""
"282550 Copper Oxides And Hydroxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2007","1140141","1140141","","","",""
"282550 Copper Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","47898","47898","","","",""
"282550 Copper Oxides And Hydroxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2008","878541","878541","","","",""
"282550 Copper Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","51353","51353","","","",""
"282550 Copper Oxides And Hydroxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2009","458901","458901","","","",""
"282550 Copper Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2009","49900","49900","","","",""
"282550 Copper Oxides And Hydroxides","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2010","14850","14850","","","",""
"282550 Copper Oxides And Hydroxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2010","624406","624406","","","",""
"282550 Copper Oxides And Hydroxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","119135","119135","","","",""
"282580 Antimony Oxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2001","965787","","","","",""
"282580 Antimony Oxides","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2001","63428","","","","",""
"282580 Antimony Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","429116","","","","",""
"282580 Antimony Oxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2002","1507186","1507186","","","",""
"282580 Antimony Oxides","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","33300","33300","","","",""
"282580 Antimony Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","494527","494527","","","",""
"282580 Antimony Oxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2003","4149981","4149981","","","",""
"282580 Antimony Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2003","579960","579960","","","",""
"282580 Antimony Oxides","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2004","48800","48800","","","",""
"282580 Antimony Oxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2004","1369616","1369616","","","",""
"282580 Antimony Oxides","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2004","9149","9149","","","",""
"282580 Antimony Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","765343","765343","","","",""
"282580 Antimony Oxides","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2005","4953650","4953650","","","",""
"282580 Antimony Oxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2005","522174","522174","","","",""
"282580 Antimony Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2005","2589906","2589906","","","",""
"282580 Antimony Oxides","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2006","6604950","6604950","","","",""
"282580 Antimony Oxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2006","95969","95969","","","",""
"282580 Antimony Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","1974496","1974496","","","",""
"282580 Antimony Oxides","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2007","8501","8501","","","",""
"282580 Antimony Oxides","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2007","251000","251000","","","",""
"282580 Antimony Oxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2007","258467","258467","","","",""
"282580 Antimony Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","1996840","1996840","","","",""
"282580 Antimony Oxides","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2008","51000","51000","","","",""
"282580 Antimony Oxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2008","43000","43000","","","",""
"282580 Antimony Oxides","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2008","823753","823753","","","",""
"282580 Antimony Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","1473939","1473939","","","",""
"282580 Antimony Oxides","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2009","557465","557465","","","",""
"282580 Antimony Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2009","1057985","1057985","","","",""
"282580 Antimony Oxides","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2010","113135","113135","","","",""
"282580 Antimony Oxides","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2010","1147580","1147580","","","",""
"282580 Antimony Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","1981288","1981288","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2001","18806","","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","2438","","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2003","9685","9685","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2005","120000","120000","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2005","2393","2393","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2005","78436","78436","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2006","1726555","1726555","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","284663","284663","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2007","11107364","11107364","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2007","1138374","1138374","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2007","4068993","4068993","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","2166743","2166743","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2008","356000","356000","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2008","12421","12421","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","4701244","4701244","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2009","1925318","1925318","","","",""
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","3375226","3375226","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2001","49495","","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","336887","","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2003","3362","3362","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","2543","2543","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2005","90290","90290","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2006","138600","138600","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2006","3456","3456","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","219399","219399","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2007","2121","2121","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","5048263","5048263","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2008","21022","21022","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2008","854477","854477","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2009","198376","198376","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2010","6071","6071","","","",""
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","250032","250032","","","",""
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2001","560804","","","","",""
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2001","682728","","","","",""
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2001","111490","","","","",""
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2001","745303","","","","",""
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2001","1814324","","","","",""
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2001","2247951","","","","",""
"850511 Permanent Magnets Made Of Metal","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2001","3081969","","","","",""
"850511 Permanent Magnets Made Of Metal","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","30780378","","","","",""
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2002","568159","568159","","","",""
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2002","671145","671145","","","",""
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2002","27905","27905","","","",""
"850511 Permanent Magnets Made Of Metal","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2002","14186","14186","","","",""
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2002","691740","691740","","","",""
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2002","2000659","2000659","","","",""
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2002","654940","654940","","","",""
"850511 Permanent Magnets Made Of Metal","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","3005438","3005438","","","",""
"850511 Permanent Magnets Made Of Metal","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","31301661","30929697","","","",""
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2003","171379","171379","","","",""
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2003","549475","549475","","","",""
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2003","27054","27054","","","",""
"850511 Permanent Magnets Made Of Metal","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2003","19499","19499","","","",""
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2003","506962","506962","","","",""
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2003","1735113","1716384","","","",""
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2003","768061","658469","","","",""
"850511 Permanent Magnets Made Of Metal","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2003","4646615","4646615","","","",""
"850511 Permanent Magnets Made Of Metal","Japan","All Country Subcodes","All Rate Provisions","All Districts","2003","36953661","36439853","","","",""
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2004","38922","38922","","","",""
"850511 Permanent Magnets Made Of Metal","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2004","2785","2785","","","",""
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2004","179498","179498","","","",""
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2004","93784","93784","","","",""
"850511 Permanent Magnets Made Of Metal","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2004","27825","27825","","","",""
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2004","630758","630758","","","",""
"850511 Permanent Magnets Made Of Metal","Macau","All Country Subcodes","All Rate Provisions","All Districts","2004","2400","2400","","","",""
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2004","5931376","4205649","","","",""
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2004","746176","679031","","","",""
"850511 Permanent Magnets Made Of Metal","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2004","2931960","2931960","","","",""
"850511 Permanent Magnets Made Of Metal","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","32368417","31220063","","","",""
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2005","33385","33385","","","",""
"850511 Permanent Magnets Made Of Metal","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2005","30309","30309","","","",""
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2005","243277","243277","","","",""
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2005","75624","75624","","","",""
"850511 Permanent Magnets Made Of Metal","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2005","41043","41043","","","",""
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2005","1272799","1272799","","","",""
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2005","4342259","2437947","","","",""
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2005","707226","707226","","","",""
"850511 Permanent Magnets Made Of Metal","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2005","3818738","3818738","","","",""
"850511 Permanent Magnets Made Of Metal","Japan","All Country Subcodes","All Rate Provisions","All Districts","2005","33734852","33246442","","","",""
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2006","13232","13232","","","",""
"850511 Permanent Magnets Made Of Metal","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2006","27395","27395","","","",""
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2006","1143478","1143478","","","",""
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2006","151567","151567","","","",""
"850511 Permanent Magnets Made Of Metal","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2006","51859","51859","","","",""
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2006","2640085","2640085","","","",""
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2006","5221450","2101920","","","",""
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2006","699018","699018","","","",""
"850511 Permanent Magnets Made Of Metal","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2006","3564379","3564379","","","",""
"850511 Permanent Magnets Made Of Metal","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","29527992","28812544","","","",""
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2007","66195","66195","","","",""
"850511 Permanent Magnets Made Of Metal","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2007","17565","17565","","","",""
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2007","867315","867315","","","",""
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2007","121550","121550","","","",""
"850511 Permanent Magnets Made Of Metal","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2007","79229","79229","","","",""
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2007","4410328","4410328","","","",""
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2007","6533321","2665717","","","",""
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2007","938600","938600","","","",""
"850511 Permanent Magnets Made Of Metal","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2007","3434751","3434751","","","",""
"850511 Permanent Magnets Made Of Metal","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","27270666","26661512","","","",""
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2008","83629","83629","","","",""
"850511 Permanent Magnets Made Of Metal","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2008","7027","7027","","","",""
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2008","457508","457508","","","",""
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2008","94990","94990","","","",""
"850511 Permanent Magnets Made Of Metal","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2008","64822","64822","","","",""
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2008","4467465","4467465","","","",""
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2008","5176788","2285152","","","",""
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2008","1175484","1090204","","","",""
