Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons)
"80 Tin And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2003","2307704","3692306","","","",""
"74 Copper And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2008","12421083","12421083","","","",""
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2010","83456018","82947814","","","",""
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2003","348234","348234","","","",""
"76 Aluminum And Articles Thereof","Macau","All Country Subcodes","All Rate Provisions","All Districts","2007","248143","248143","","","",""
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2005","178487","178487","","","",""
"76 Aluminum And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2007","6052777","6052777","","","",""
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2004","43754380","43743515","","","",""
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2005","1657764","1657764","","","",""
"80 Tin And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2009","1954571","1954571","","","",""
"76 Aluminum And Articles Thereof","Macau","All Country Subcodes","All Rate Provisions","All Districts","2005","52916","52916","","","",""
"75 Nickel And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2006","4921","4921","","","",""
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2006","15947634","15939035","","","",""
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2008","129131","129131","","","",""
"74 Copper And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2008","4761069","4761069","","","",""
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2007","109897931","109408021","","","",""
"76 Aluminum And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2003","32362427","32056835","","","",""
"75 Nickel And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","44334570","44557831","","","",""
"80 Tin And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2003","1985662","1985662","","","",""
"80 Tin And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2002","5227","5227","","","",""
"80 Tin And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2008","35119611","35119611","","","",""
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2005","3434204","7568386","","","",""
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2008","2492549","2492549","","","",""
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","159080258","120342712","","","",""
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","4075027","5922139","","","",""
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2005","167697081","167656998","","","",""
