Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,CategoryType
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2025,12218527,12218527.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2012,578699,578699.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2020,14613,14613.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2018,25861105,25861105.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2015,35087991,35087991.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2016,25485749,25485749.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2014,45650578,45650578.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2013,40538145,40538145.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2017,36846781,36846781.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2012,24372225,24372225.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2005,37339035,36795289.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2011,27012602,27012602.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2020,21700374,21700374.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2014,85000,85000.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2011,470534,470534.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2019,47625,47625.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2018,831874,831874.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2016,1775053,1775053.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2013,172800,172800.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2012,652980,652980.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2017,148210,148210.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2019,20907942,20907942.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2023,38580813,38012122.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2021,45163999,44804065.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2008,84101435,84101435.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2010,36600953,36600953.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,Asia - South,2022,5444,5444.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2002,18297651,18297651.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2004,39007984,39007984.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2006,43591920,42742140.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2022,31857661,30081930.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2003,21744404,21744404.0,2606,Ore/Raw
2606 Aluminum Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2009,15609454,15609454.0,2606,Ore/Raw
2609 Tin Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2011,51510,51510.0,2609,Ore/Raw
2609 Tin Ores And Concentrates,Asia - South,2024,19577,19577.0,2609,Ore/Raw
2609 Tin Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2010,16943,16943.0,2609,Ore/Raw
2609 Tin Ores And Concentrates,Asia - South,2025,62118,62118.0,2609,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2009,98544451,98544451.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,Asia - South,2019,3750,3750.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2013,302258325,302258325.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2016,121516236,121516236.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2006,101984421,101984421.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2014,137976209,137976209.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2010,123928925,123928925.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2002,125465391,125465391.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2011,176394037,176394037.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2003,136065454,136065454.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,Asia - South,2017,141688,141688.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2004,123626882,123626882.0,2614,Ore/Raw
